index,pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtoday,ratetotal
0,35,Ontario,Ontario,2020-01-31,3,0,0.0,3,3,0.02
1,59,British Columbia,Colombie-Britannique,2020-01-31,1,0,0.0,1,1,0.02
2,1,Canada,Canada,2020-01-31,4,0,0.0,4,4,0.01
3,35,Ontario,Ontario,2020-02-08,3,0,0.0,3,0,0.02
4,59,British Columbia,Colombie-Britannique,2020-02-08,4,0,0.0,4,3,0.08
5,1,Canada,Canada,2020-02-08,7,0,0.0,7,3,0.02
6,35,Ontario,Ontario,2020-02-16,3,0,0.0,3,0,0.02
7,59,British Columbia,Colombie-Britannique,2020-02-16,5,0,0.0,5,1,0.1
8,1,Canada,Canada,2020-02-16,8,0,0.0,8,1,0.02
9,35,Ontario,Ontario,2020-02-21,3,0,0.0,3,0,0.02
10,59,British Columbia,Colombie-Britannique,2020-02-21,6,0,0.0,6,1,0.12
11,1,Canada,Canada,2020-02-21,9,0,0.0,9,1,0.02
12,35,Ontario,Ontario,2020-02-24,4,0,0.0,4,1,0.03
13,59,British Columbia,Colombie-Britannique,2020-02-24,6,0,0.0,6,0,0.12
14,1,Canada,Canada,2020-02-24,10,0,0.0,10,1,0.03
15,35,Ontario,Ontario,2020-02-25,4,0,0.0,4,0,0.03
16,59,British Columbia,Colombie-Britannique,2020-02-25,7,0,0.0,7,1,0.14
17,1,Canada,Canada,2020-02-25,11,0,0.0,11,1,0.03
18,35,Ontario,Ontario,2020-02-26,5,0,0.0,5,1,0.03
19,59,British Columbia,Colombie-Britannique,2020-02-26,7,0,0.0,7,0,0.14
20,1,Canada,Canada,2020-02-26,12,0,0.0,12,1,0.03
21,35,Ontario,Ontario,2020-02-27,6,0,0.0,6,1,0.04
22,59,British Columbia,Colombie-Britannique,2020-02-27,7,0,0.0,7,0,0.14
23,1,Canada,Canada,2020-02-27,13,0,0.0,13,1,0.03
24,35,Ontario,Ontario,2020-02-29,8,0,0.0,8,2,0.05
25,59,British Columbia,Colombie-Britannique,2020-02-29,7,0,0.0,7,0,0.14
26,1,Canada,Canada,2020-02-29,15,0,0.0,15,2,0.04
27,35,Ontario,Ontario,2020-03-01,15,0,0.0,15,7,0.1
28,59,British Columbia,Colombie-Britannique,2020-03-01,8,0,0.0,8,1,0.16
29,24,Quebec,Québec,2020-03-01,1,0,0.0,1,1,0.01
30,1,Canada,Canada,2020-03-01,24,0,0.0,24,9,0.06
31,35,Ontario,Ontario,2020-03-03,20,0,0.0,20,5,0.14
32,59,British Columbia,Colombie-Britannique,2020-03-03,12,0,0.0,12,4,0.24
33,24,Quebec,Québec,2020-03-03,1,0,0.0,1,0,0.01
34,1,Canada,Canada,2020-03-03,33,0,0.0,33,9,0.09
35,35,Ontario,Ontario,2020-03-05,22,0,0.0,22,2,0.15
36,59,British Columbia,Colombie-Britannique,2020-03-05,21,0,0.0,21,9,0.41
37,24,Quebec,Québec,2020-03-05,2,0,0.0,2,1,0.02
38,1,Canada,Canada,2020-03-05,45,0,0.0,45,12,0.12
39,35,Ontario,Ontario,2020-03-06,28,0,0.0,28,6,0.19
40,59,British Columbia,Colombie-Britannique,2020-03-06,21,0,0.0,21,0,0.41
41,24,Quebec,Québec,2020-03-06,2,0,0.0,2,0,0.02
42,1,Canada,Canada,2020-03-06,51,0,0.0,51,6,0.14
43,35,Ontario,Ontario,2020-03-07,28,0,0.0,28,0,0.19
44,59,British Columbia,Colombie-Britannique,2020-03-07,27,0,0.0,27,6,0.53
45,24,Quebec,Québec,2020-03-07,2,0,0.0,2,0,0.02
46,1,Canada,Canada,2020-03-07,57,0,0.0,57,6,0.15
47,35,Ontario,Ontario,2020-03-08,31,0,0.0,31,3,0.21
48,59,British Columbia,Colombie-Britannique,2020-03-08,27,0,1.0,27,0,0.53
49,24,Quebec,Québec,2020-03-08,3,0,0.0,3,1,0.04
50,48,Alberta,Alberta,2020-03-08,1,0,0.0,1,1,0.02
51,1,Canada,Canada,2020-03-08,62,0,1.0,62,5,0.16
52,35,Ontario,Ontario,2020-03-09,34,0,0.0,34,3,0.23
53,59,British Columbia,Colombie-Britannique,2020-03-09,32,0,1.0,32,5,0.63
54,24,Quebec,Québec,2020-03-09,4,0,0.0,4,1,0.05
55,48,Alberta,Alberta,2020-03-09,7,0,0.0,7,6,0.16
56,1,Canada,Canada,2020-03-09,77,0,1.0,77,15,0.2
57,59,British Columbia,Colombie-Britannique,2020-03-11,39,0,1.0,39,7,0.77
58,48,Alberta,Alberta,2020-03-11,14,0,0.0,14,7,0.32
59,47,Saskatchewan,Saskatchewan,2020-03-11,0,0,0.0,0,0,0.0
60,46,Manitoba,Manitoba,2020-03-11,0,0,0.0,0,0,0.0
61,35,Ontario,Ontario,2020-03-11,42,0,1.0,42,8,0.29
62,24,Quebec,Québec,2020-03-11,7,0,0.0,7,3,0.08
63,13,New Brunswick,Nouveau-Brunswick,2020-03-11,0,0,0.0,0,0,0.0
64,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-11,0,0,0.0,0,0,0.0
65,12,Nova Scotia,Nouvelle-Écosse,2020-03-11,0,0,0.0,0,0,0.0
66,11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-11,0,0,0.0,0,0,0.0
67,61,Northwest Territories,Territoires du Nord-Ouest,2020-03-11,0,0,0.0,0,0,0.0
68,62,Nunavut,Nunavut,2020-03-11,0,0,0.0,0,0,0.0
69,60,Yukon,Yukon,2020-03-11,0,0,0.0,0,0,0.0
70,99,Repatriated travellers,Voyageurs rapatriés,2020-03-11,1,0,0.0,1,1,
71,1,Canada,Canada,2020-03-11,103,0,2.0,103,26,0.27
72,59,British Columbia,Colombie-Britannique,2020-03-12,46,0,1.0,46,7,0.91
73,48,Alberta,Alberta,2020-03-12,19,0,0.0,19,5,0.43
74,47,Saskatchewan,Saskatchewan,2020-03-12,0,1,0.0,1,1,0.09
75,46,Manitoba,Manitoba,2020-03-12,0,1,0.0,1,1,0.07
76,35,Ontario,Ontario,2020-03-12,59,0,1.0,59,17,0.41
77,24,Quebec,Québec,2020-03-12,13,0,0.0,13,6,0.15
78,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-12,0,0,0.0,0,0,0.0
79,13,New Brunswick,Nouveau-Brunswick,2020-03-12,0,1,0.0,1,1,0.13
80,12,Nova Scotia,Nouvelle-Écosse,2020-03-12,0,0,0.0,0,0,0.0
81,11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-12,0,0,0.0,0,0,0.0
82,60,Yukon,Yukon,2020-03-12,0,0,0.0,0,0,0.0
83,61,Northwest Territories,Territoires du Nord-Ouest,2020-03-12,0,0,0.0,0,0,0.0
84,62,Nunavut,Nunavut,2020-03-12,0,0,0.0,0,0,0.0
85,99,Repatriated travellers,Voyageurs rapatriés,2020-03-12,1,0,0.0,1,0,
